bool                                             |logical
int                                              |integer
uint                                             |integer
short                                            |integer
ushort                                           |integer
Q3Accel                                          |QObject  |Qt3Support
Q3Action                                         |QObject  |Qt3Support
Q3ActionGroup                                    |QObject  |Qt3Support
Q3Button                                         |QObject  |Qt3Support
Q3Canvas                                         |QObject  |Qt3Support
Q3CanvasView                                     |QObject  |Qt3Support
Q3ColorDrag                                      |QObject  |Qt3Support
Q3ComboBox                                       |QObject  |Qt3Support
Q3DataBrowser                                    |QObject  |Qt3Support
Q3DataTable                                      |QObject  |Qt3Support
Q3DataView                                       |QObject  |Qt3Support
Q3DateEdit                                       |QObject  |Qt3Support
Q3DateTimeEdit                                   |QObject  |Qt3Support
Q3DateTimeEditBase                               |QObject  |Qt3Support
Q3Dns                                            |QObject  |Qt3Support
Q3DockArea                                       |QObject  |Qt3Support
Q3DockWindow                                     |QObject  |Qt3Support
Q3DragObject                                     |QObject  |Qt3Support
Q3EditorFactory                                  |QObject  |Qt3Support
Q3FileDialog                                     |QObject  |Qt3Support
Q3FileIconProvider                               |QObject  |Qt3Support
Q3Frame                                          |QObject  |Qt3Support
Q3Ftp                                            |QObject  |Qt3Support
Q3Grid                                           |QObject  |Qt3Support
Q3GridView                                       |QObject  |Qt3Support
Q3GroupBox                                       |QObject  |Qt3Support
Q3HBox                                           |QObject  |Qt3Support
Q3HBoxLayout                                     |QObject  |Qt3Support
Q3Header                                         |QObject  |Qt3Support
Q3Http                                           |QObject  |Qt3Support
Q3IconDrag                                       |QObject  |Qt3Support
Q3IconView                                       |QObject  |Qt3Support
Q3ImageDrag                                      |QObject  |Qt3Support
Q3ListBox                                        |QObject  |Qt3Support
Q3ListView                                       |QObject  |Qt3Support
Q3LocalFs                                        |QObject  |Qt3Support
Q3MainWindow                                     |QObject  |Qt3Support
Q3MultiLineEdit                                  |QObject  |Qt3Support
Q3NetworkOperation                               |QObject  |Qt3Support
Q3NetworkProtocol                                |QObject  |Qt3Support
Q3PopupMenu                                      |QObject  |Qt3Support
Q3Process                                        |QObject  |Qt3Support
Q3ProgressBar                                    |QObject  |Qt3Support
Q3ProgressDialog                                 |QObject  |Qt3Support
Q3ScrollView                                     |QObject  |Qt3Support
Q3ServerSocket                                   |QObject  |Qt3Support
Q3Signal                                         |QObject  |Qt3Support
Q3Socket                                         |QObject  |Qt3Support
Q3SocketDevice                                   |QObject  |Qt3Support
Q3SqlEditorFactory                               |QObject  |Qt3Support
Q3SqlForm                                        |QObject  |Qt3Support
Q3StoredDrag                                     |QObject  |Qt3Support
Q3StyleSheet                                     |QObject  |Qt3Support
Q3TabDialog                                      |QObject  |Qt3Support
Q3Table                                          |QObject  |Qt3Support
Q3TextBrowser                                    |QObject  |Qt3Support
Q3TextDrag                                       |QObject  |Qt3Support
Q3TextEdit                                       |QObject  |Qt3Support
Q3TextView                                       |QObject  |Qt3Support
Q3TimeEdit                                       |QObject  |Qt3Support
Q3ToolBar                                        |QObject  |Qt3Support
Q3UriDrag                                        |QObject  |Qt3Support
Q3UrlOperator                                    |QObject  |Qt3Support
Q3VBox                                           |QObject  |Qt3Support
Q3VBoxLayout                                     |QObject  |Qt3Support
Q3WhatsThis                                      |QObject  |Qt3Support
Q3WidgetStack                                    |QObject  |Qt3Support
Q3Wizard                                         |QObject  |Qt3Support
QAbstractAnimation                               |QObject  |QtCore
